fecha,ciudad,producto,categoria,unidades,precio_unitario,descuento_pct,ventas,costo_total,satisfaccion
2025-01-01,Cusco,Audífonos,Audio,4,245.74,15,835.52,544.57,4.0
2025-01-02,Arequipa,Mouse,Accesorios,5,93.16,0,465.8,252.81,4.0
2025-01-03,Arequipa,Parlante,Audio,6,310.05,10,1674.27,1137.27,4.8
2025-01-04,Lima,Mouse,Accesorios,13,94.0,15,1038.7,679.65,3.6
2025-01-05,Arequipa,Teclado,Accesorios,7,174.45,0,1221.15,751.14,3.9
2025-01-06,Arequipa,Laptop,Tecnología,7,3136.05,0,21952.35,16708.55,4.0
2025-01-07,Lima,Teclado,Accesorios,9,185.03,0,1665.27,921.56,2.9
2025-01-08,Trujillo,Teclado,Accesorios,7,180.51,15,1074.03,716.99,3.8
2025-01-09,Trujillo,Monitor,Tecnología,5,874.58,15,3716.97,3130.49,4.1
2025-01-10,Lima,Mouse,Accesorios,10,92.91,10,836.19,506.73,3.7
2025-01-11,Lima,Teclado,Accesorios,7,177.03,5,1177.25,731.15,4.0
2025-01-12,Arequipa,Mouse,Accesorios,5,96.42,0,482.1,254.17,4.2
2025-01-13,Trujillo,Mouse,Accesorios,6,98.22,15,500.92,316.43,4.1
2025-01-14,Lima,Laptop,Tecnología,9,3105.2,0,27946.8,21520.51,4.4
2025-01-15,Lima,Monitor,Tecnología,11,844.77,5,8827.85,6566.25,4.6
2025-01-16,Arequipa,Mouse,Accesorios,6,95.14,0,570.84,313.14,5.0
2025-01-17,Lima,Laptop,Tecnología,4,3117.07,10,11221.45,9978.06,4.5
2025-01-18,Lima,Monitor,Tecnología,7,840.04,10,5292.25,4201.59,4.4
2025-01-19,Arequipa,Mouse,Accesorios,2,97.12,0,194.24,105.76,3.5
2025-01-20,Lima,Mouse,Accesorios,6,93.24,10,503.5,313.15,4.4
2025-01-21,Cusco,Monitor,Tecnología,4,882.14,5,3352.13,2480.84,4.1
2025-01-22,Trujillo,Teclado,Accesorios,3,180.63,0,541.89,308.8,3.9
2025-01-23,Lima,Teclado,Accesorios,5,182.95,0,914.75,538.69,4.1
2025-01-24,Lima,Parlante,Audio,6,309.91,10,1673.51,1152.77,3.1
2025-01-25,Trujillo,Parlante,Audio,4,311.1,5,1182.18,743.59,4.1
2025-01-26,Lima,Monitor,Tecnología,3,875.94,0,2627.82,1849.35,4.0
2025-01-27,Arequipa,Audífonos,Audio,4,241.2,0,964.8,548.44,3.0
2025-01-28,Arequipa,Monitor,Tecnología,7,865.38,5,5754.78,4301.54,3.9
2025-01-29,Lima,Laptop,Tecnología,4,3325.26,0,13301.04,9834.35,5.0
2025-01-30,Lima,Audífonos,Audio,8,241.67,0,1933.36,1099.56,3.7
2025-01-31,Lima,Mouse,Accesorios,8,95.66,0,765.28,414.02,4.2
2025-02-01,Trujillo,Monitor,Tecnología,7,840.69,0,5884.83,4392.06,4.0
2025-02-02,Lima,Teclado,Accesorios,6,174.33,10,941.38,616.7,4.1
2025-02-03,Trujillo,Teclado,Accesorios,3,180.54,10,487.46,315.39,4.1
2025-02-04,Cusco,Mouse,Accesorios,4,92.27,15,313.72,211.59,3.8
2025-02-05,Arequipa,Mouse,Accesorios,5,94.91,0,474.55,253.94,3.7
2025-02-06,Trujillo,Audífonos,Audio,1,244.92,5,232.67,136.89,4.0
2025-02-07,Cusco,Mouse,Accesorios,7,98.3,5,653.69,372.8,4.2
2025-02-08,Cusco,Mouse,Accesorios,5,93.21,0,466.05,257.12,4.3
2025-02-09,Lima,Mouse,Accesorios,7,95.8,10,603.54,362.3,3.2
2025-02-10,Lima,Laptop,Tecnología,9,3152.35,0,28371.15,21591.62,4.2
2025-02-11,Lima,Laptop,Tecnología,9,3202.16,20,23055.55,22639.22,3.5
2025-02-12,Cusco,Teclado,Accesorios,4,176.69,15,600.75,409.01,4.4
2025-02-13,Lima,Audífonos,Audio,7,232.66,10,1465.76,957.75,4.2
2025-02-14,Arequipa,Parlante,Audio,7,304.9,20,1707.44,1340.0,3.9
2025-02-15,Trujillo,Mouse,Accesorios,5,93.31,20,373.24,254.09,4.3
2025-02-16,Cusco,Audífonos,Audio,6,233.95,10,1263.33,805.65,4.3
2025-02-17,Cusco,Teclado,Accesorios,5,176.52,0,882.6,519.9,4.1
2025-02-18,Cusco,Monitor,Tecnología,5,883.18,5,4195.1,3055.74,4.5
2025-02-19,Lima,Audífonos,Audio,8,239.95,10,1727.64,1082.3,3.6
2025-02-20,Lima,Monitor,Tecnología,3,875.87,0,2627.61,1871.03,4.7
2025-02-21,Lima,Mouse,Accesorios,9,93.45,15,714.89,472.92,4.2
2025-02-22,Lima,Mouse,Accesorios,2,93.36,10,168.05,103.89,4.0
2025-02-23,Cusco,Laptop,Tecnología,4,3322.03,10,11959.31,10039.87,4.3
2025-02-24,Cusco,Teclado,Accesorios,1,186.75,0,186.75,105.46,4.1
2025-02-25,Trujillo,Monitor,Tecnología,5,865.74,20,3462.96,2970.48,4.1
2025-02-26,Lima,Monitor,Tecnología,5,880.11,10,3960.5,3118.75,4.0
2025-02-27,Cusco,Teclado,Accesorios,5,178.16,0,890.8,511.13,3.6
2025-02-28,Lima,Parlante,Audio,11,311.44,0,3425.84,2041.61,4.6
2025-03-01,Cusco,Mouse,Accesorios,3,91.47,0,274.41,156.14,3.7
2025-03-02,Lima,Laptop,Tecnología,9,3073.47,0,27661.23,21846.79,4.0
2025-03-03,Arequipa,Monitor,Tecnología,8,826.71,5,6283.0,4944.77,4.4
2025-03-04,Lima,Monitor,Tecnología,6,881.55,5,5024.83,3552.32,4.5
2025-03-05,Cusco,Parlante,Audio,3,320.86,0,962.58,557.2,3.7
2025-03-06,Lima,Monitor,Tecnología,5,850.75,0,4253.75,3003.01,4.5
2025-03-07,Lima,Monitor,Tecnología,7,843.33,20,4722.65,4217.86,4.5
2025-03-08,Arequipa,Mouse,Accesorios,7,98.18,10,618.53,374.46,4.8
2025-03-09,Arequipa,Laptop,Tecnología,4,3212.15,0,12848.6,9724.82,3.8
2025-03-10,Lima,Mouse,Accesorios,4,97.37,20,311.58,204.3,4.1
2025-03-11,Lima,Audífonos,Audio,9,243.74,10,1974.29,1213.1,3.7
2025-03-12,Lima,Teclado,Accesorios,3,173.25,0,519.75,305.75,4.7
2025-03-13,Trujillo,Audífonos,Audio,8,238.44,0,1907.52,1104.94,3.6
2025-03-14,Arequipa,Audífonos,Audio,6,245.16,0,1470.96,806.34,5.0
2025-03-15,Cusco,Audífonos,Audio,7,248.78,10,1567.31,924.03,3.7
2025-03-16,Cusco,Teclado,Accesorios,3,180.73,0,542.19,321.65,3.9
2025-03-17,Lima,Laptop,Tecnología,3,3297.75,0,9893.25,7145.71,3.9
2025-03-18,Arequipa,Teclado,Accesorios,9,181.63,5,1552.94,955.14,3.4
2025-03-19,Lima,Teclado,Accesorios,7,176.32,0,1234.24,755.12,3.4
2025-03-20,Lima,Teclado,Accesorios,6,177.33,5,1010.78,614.82,4.3
2025-03-21,Arequipa,Audífonos,Audio,7,238.52,15,1419.19,932.97,3.6
2025-03-22,Lima,Monitor,Tecnología,7,871.93,0,6103.51,4192.9,4.8
2025-03-23,Arequipa,Mouse,Accesorios,4,92.24,20,295.17,211.18,4.0
2025-03-24,Trujillo,Laptop,Tecnología,4,3224.77,0,12899.08,9978.37,4.1
2025-03-25,Cusco,Audífonos,Audio,5,240.17,0,1200.85,656.2,4.3
2025-03-26,Lima,Audífonos,Audio,5,244.93,5,1163.42,680.38,3.9
2025-03-27,Lima,Parlante,Audio,3,310.95,0,932.85,561.62,2.9
2025-03-28,Lima,Mouse,Accesorios,5,97.51,10,438.8,259.34,3.6
2025-03-29,Trujillo,Parlante,Audio,2,306.14,5,581.67,371.65,4.3
2025-03-30,Trujillo,Mouse,Accesorios,5,97.15,0,485.75,254.75,4.2
2025-03-31,Lima,Parlante,Audio,7,298.41,5,1984.43,1293.41,4.5
2025-04-01,Lima,Monitor,Tecnología,8,869.67,0,6957.36,4790.76,4.3
2025-04-02,Arequipa,Parlante,Audio,5,298.58,5,1418.25,927.42,4.3
2025-04-03,Trujillo,Mouse,Accesorios,7,98.29,0,688.03,360.21,4.4
2025-04-04,Arequipa,Audífonos,Audio,6,248.9,0,1493.4,791.92,3.4
2025-04-05,Lima,Teclado,Accesorios,7,180.96,10,1140.05,749.67,4.1
2025-04-06,Arequipa,Laptop,Tecnología,8,3205.61,10,23080.39,20043.07,3.1
2025-04-07,Arequipa,Mouse,Accesorios,9,93.48,10,757.19,466.87,4.8
2025-04-08,Trujillo,Mouse,Accesorios,6,91.7,10,495.18,302.74,4.3
